TS = 2771318, TJ = 943624
TS = 29719126, TJ = 27849644
TS = 2629151, TJ = 861378
TS = 2433324, TJ = 879486
TS = 2485576, TJ = 941908
TS = 2709739, TJ = 983060
TS = 2710152, TJ = 930464
TS = 3564353, TJ = 1771910
TS = 2541572, TJ = 862924
TS = 2391960, TJ = 857861
TS = 29450501, TJ = 27928994
TS = 3769979, TJ = 1832347
TS = 2713668, TJ = 908307
TS = 53357674, TJ = 48425426
TS = 33316250, TJ = 27585958
TS = 2781010, TJ = 961051
TS = 2586053, TJ = 959640
TS = 2584390, TJ = 877952
TS = 3303874, TJ = 1751231
TS = 5640723, TJ = 873236
TS = 2730430, TJ = 1026413
TS = 2813705, TJ = 948939
TS = 3017028, TJ = 1125314
TS = 5147507, TJ = 3382803
TS = 2756281, TJ = 943109
TS = 2657331, TJ = 891531
TS = 29542996, TJ = 27821420
TS = 2795803, TJ = 928182
TS = 2567075, TJ = 903023
TS = 372482981, TJ = 32403675
TS = 2739886, TJ = 930721
TS = 2168760, TJ = 801325
TS = 54744503, TJ = 26902792
TS = 2661793, TJ = 902641
TS = 2688116, TJ = 893349
TS = 2813164, TJ = 936885
TS = 4166949, TJ = 995642
TS = 5926683, TJ = 3427579
TS = 576575922, TJ = 28171192
TS = 3120080, TJ = 1068270
TS = 31859438, TJ = 30360453
TS = 2559150, TJ = 918457
TS = 2419240, TJ = 840416
TS = 6757747, TJ = 904836
TS = 2573482, TJ = 855631
TS = 2747138, TJ = 924091
TS = 2765456, TJ = 931340
TS = 2624908, TJ = 898948
TS = 29214886, TJ = 27543688
TS = 624431811, TJ = 30651365
TS = 22618177, TJ = 2714844
TS = 2581134, TJ = 855415
TS = 4201472, TJ = 987248
TS = 29651606, TJ = 28044116
TS = 2611906, TJ = 882079
TS = 558484911, TJ = 27452494
TS = 2686323, TJ = 897780
TS = 2407221, TJ = 871192
TS = 5151140, TJ = 882788
TS = 2512113, TJ = 818605
TS = 2849681, TJ = 916515
TS = 29890472, TJ = 27909404
TS = 2780385, TJ = 966424
TS = 8495383, TJ = 939833
TS = 29106812, TJ = 27463042
TS = 7493531, TJ = 835938
TS = 30207416, TJ = 28391209
TS = 5014575, TJ = 1816202
TS = 2701759, TJ = 858413
TS = 2650539, TJ = 891815
TS = 2721615, TJ = 919687
TS = 2805086, TJ = 983399
TS = 2826910, TJ = 979148
TS = 2701934, TJ = 897355
TS = 2901721, TJ = 1119949
TS = 38570701, TJ = 36640929
TS = 2884683, TJ = 900842
TS = 3050655, TJ = 1199053
TS = 2878619, TJ = 985544
TS = 2988501, TJ = 1027634
TS = 36648143, TJ = 34679099
TS = 63740871, TJ = 61926461
TS = 2697156, TJ = 902168
TS = 2753660, TJ = 916912
TS = 2693584, TJ = 880794
TS = 31394659, TJ = 29490088
TS = 31379921, TJ = 29517963
TS = 567616130, TJ = 27814587
TS = 7334608, TJ = 890965
TS = 2640532, TJ = 951096
TS = 2724209, TJ = 903848
TS = 3545399, TJ = 1763665
TS = 3534020, TJ = 1731570
TS = 2543463, TJ = 813107
TS = 2308393, TJ = 860763
TS = 30821958, TJ = 29066410
TS = 2741947, TJ = 909647
TS = 2667119, TJ = 906412
TS = 2351398, TJ = 814683
TS = 2554298, TJ = 843016
TS = 36307470, TJ = 34365851
TS = 29533719, TJ = 27670716
TS = 2630306, TJ = 902426
TS = 2501739, TJ = 822829
TS = 2724736, TJ = 970159
TS = 29494323, TJ = 27686075
TS = 2724931, TJ = 930155
TS = 2688618, TJ = 858766
TS = 2780283, TJ = 931264
TS = 2523286, TJ = 881939
TS = 107692332, TJ = 27806304
TS = 29401595, TJ = 27678475
TS = 2564141, TJ = 900516
TS = 2755122, TJ = 978341
TS = 29704954, TJ = 27800113
TS = 24649261, TJ = 2839662
TS = 2539371, TJ = 879615
TS = 2208894, TJ = 772025
TS = 2430842, TJ = 870200
TS = 2575275, TJ = 887443
TS = 2296511, TJ = 787711
TS = 2196884, TJ = 819009
TS = 3300087, TJ = 1703187
TS = 2386839, TJ = 888581
TS = 2213282, TJ = 789716
TS = 2464722, TJ = 835806
TS = 2302046, TJ = 788036
TS = 2390049, TJ = 848620
TS = 2396988, TJ = 838517
TS = 2513776, TJ = 990389
TS = 2268983, TJ = 779385
TS = 3093592, TJ = 1655303
TS = 2669327, TJ = 884652
TS = 2204359, TJ = 765952
TS = 2332382, TJ = 878869
TS = 2300252, TJ = 837250
TS = 2238925, TJ = 824903
TS = 2273852, TJ = 784469
TS = 2207635, TJ = 834406
TS = 277951283, TJ = 25869510
TS = 2744988, TJ = 923401
TS = 2369774, TJ = 899573
TS = 2220250, TJ = 809273
TS = 2612352, TJ = 856678
TS = 29561012, TJ = 27797678
TS = 2481903, TJ = 846730
TS = 2619161, TJ = 933289
TS = 5271771, TJ = 886363
TS = 28805594, TJ = 27447829
TS = 2369231, TJ = 809931
TS = 28943124, TJ = 27591582
TS = 6655549, TJ = 838959
TS = 53945087, TJ = 52404173
TS = 583781537, TJ = 28627286
TS = 2942804, TJ = 1006903
TS = 2877774, TJ = 1032355
TS = 29149451, TJ = 27665756
TS = 2155606, TJ = 759593
TS = 29402831, TJ = 27622231
TS = 2620901, TJ = 868413
TS = 29096178, TJ = 27619565
TS = 9167365, TJ = 861342
TS = 29711724, TJ = 28007449
TS = 2373368, TJ = 815281
TS = 2147906, TJ = 755763
TS = 5379485, TJ = 808407
TS = 2398412, TJ = 838478
TS = 2426925, TJ = 764240
TS = 28786551, TJ = 27447516
TS = 28559907, TJ = 26944103
TS = 2564354, TJ = 892315
TS = 54604958, TJ = 26892827
TS = 2731400, TJ = 904780
TS = 2522601, TJ = 810746
TS = 2361804, TJ = 860470
TS = 2703467, TJ = 887122
TS = 2592322, TJ = 890535
TS = 29942558, TJ = 28119644
TS = 2732359, TJ = 967861
TS = 2677029, TJ = 878138
TS = 6299847, TJ = 4516366
TS = 2673630, TJ = 913477
TS = 104676418, TJ = 2914324
TS = 2641147, TJ = 896143
TS = 2571201, TJ = 909536
TS = 2630842, TJ = 874336
TS = 29773314, TJ = 28059685
TS = 29646300, TJ = 27905606
TS = 31029760, TJ = 28248403
TS = 2556052, TJ = 895521
TS = 2516639, TJ = 838270
TS = 3867260, TJ = 925418
TS = 5496486, TJ = 3308530
TS = 29535091, TJ = 27648414
TS = 3576091, TJ = 1748497
TS = 2726046, TJ = 849036
TS = 2563625, TJ = 852904
TS = 30569715, TJ = 28203032
TS = 2677299, TJ = 871179
TS = 2675001, TJ = 905974
TS = 290608703, TJ = 27151077
TS = 2567993, TJ = 818918
TS = 2677769, TJ = 925379
TS = 3814536, TJ = 1515282
TS = 2680358, TJ = 864856
TS = 2751550, TJ = 908700
TS = 29984891, TJ = 28200140
TS = 2689689, TJ = 938026
TS = 3914287, TJ = 1826412
TS = 30095719, TJ = 28257429
TS = 2601646, TJ = 826343
TS = 2533529, TJ = 817051
TS = 3810869, TJ = 949791
TS = 2721324, TJ = 900694
TS = 2726646, TJ = 911551
TS = 30211383, TJ = 28427271
TS = 2639044, TJ = 835059
TS = 2571225, TJ = 835805
TS = 2693982, TJ = 886327
TS = 2690001, TJ = 911212
TS = 62460200, TJ = 30739666
TS = 2846180, TJ = 963513
TS = 2497327, TJ = 831466
TS = 2686249, TJ = 964053
TS = 2882142, TJ = 959910
TS = 2634083, TJ = 848874
TS = 2716889, TJ = 904261
TS = 2679745, TJ = 937195
TS = 2705791, TJ = 855754
TS = 2965835, TJ = 910973
TS = 32121742, TJ = 30392960
TS = 2762973, TJ = 963813
TS = 2839349, TJ = 961824
TS = 2889121, TJ = 1030755
TS = 30393912, TJ = 28529503
TS = 2713998, TJ = 937266
TS = 2709921, TJ = 841071
TS = 2644927, TJ = 931031
TS = 5394864, TJ = 926957
TS = 2739521, TJ = 933036
TS = 2897651, TJ = 1132451
TS = 2510575, TJ = 924011
TS = 2509251, TJ = 903648
TS = 2617475, TJ = 911778
TS = 314140820, TJ = 26862655
TS = 29329037, TJ = 27535957
TS = 2474249, TJ = 818985
TS = 2577950, TJ = 984304
TS = 2715522, TJ = 914822
TS = 29102398, TJ = 27390349
TS = 24502311, TJ = 2425765
TS = 2461639, TJ = 885386
TS = 3452561, TJ = 818113
TS = 2155605, TJ = 737685
TS = 2147536, TJ = 792177
TS = 2416532, TJ = 804950
TS = 2202681, TJ = 811759
TS = 2645502, TJ = 916016
TS = 2498752, TJ = 878364
