TS = 39401634, TJ = 36770327
TS = 35634394, TJ = 22793400
TS = 47994648, TJ = 1204031
TS = 49517066, TJ = 30325632
TS = 50272522, TJ = 1661200
TS = 49523268, TJ = 2575475
TS = 49062017, TJ = 2375050
TS = 49439553, TJ = 2195479
TS = 10089968, TJ = 4645492
TS = 6190752, TJ = 1502634
TS = 1862963, TJ = 1819991
TS = 183420765, TJ = 1325285
TS = 187474075, TJ = 3629987
TS = 188313379, TJ = 1416811
TS = 189153260, TJ = 1525860
TS = 188189468, TJ = 1942960
TS = 191021019, TJ = 2661822
TS = 11632314, TJ = 1867497
TS = 194172662, TJ = 4133657
TS = 9223967, TJ = 832238
TS = 13876464, TJ = 1806131
TS = 15422888, TJ = 7399196
TS = 15131293, TJ = 1843272
TS = 11433186, TJ = 2259283
TS = 14377455, TJ = 2614700
TS = 17640543, TJ = 3201868
TS = 2087240, TJ = 1996884
TS = 1957500, TJ = 1876523
TS = 4703547, TJ = 273587
TS = 5544022, TJ = 3376319
TS = 6051606, TJ = 2450238
TS = 7694041, TJ = 1913856
TS = 1850089, TJ = 1808553
TS = 15414913, TJ = 3879813
TS = 13440718, TJ = 1782343
TS = 13549380, TJ = 4309278
TS = 16452441, TJ = 1027876
TS = 17701742, TJ = 318189
TS = 8926100, TJ = 5055111
TS = 2056156, TJ = 1999946
TS = 4902791, TJ = 2722791
TS = 12888941, TJ = 838127
TS = 3337053, TJ = 566059
TS = 15863216, TJ = 1026687
TS = 3853534, TJ = 2324194
TS = 3729458, TJ = 1486316
TS = 47219316, TJ = 10573650
TS = 47102803, TJ = 8961230
TS = 1868950, TJ = 1827743
TS = 3537342, TJ = 445071
TS = 3485710, TJ = 3127837
TS = 2957807, TJ = 2916046
TS = 7705329, TJ = 1636367
TS = 7811302, TJ = 2127912
TS = 4124792, TJ = 3279784
TS = 14696687, TJ = 821063
TS = 23537718, TJ = 9252562
TS = 1834369, TJ = 1790399
TS = 4164413, TJ = 1411692
TS = 4923081, TJ = 2972369
TS = 5128886, TJ = 878836
TS = 2094440, TJ = 1740868
TS = 2969070, TJ = 2631328
TS = 9037209, TJ = 1778885
TS = 2335260, TJ = 1731840
TS = 3681510, TJ = 1755837
TS = 14576006, TJ = 5917571
TS = 5545517, TJ = 1657106
TS = 1841349, TJ = 1794631
TS = 103714616, TJ = 2028441
TS = 79240033, TJ = 2688258
TS = 67935288, TJ = 16673569
TS = 63759793, TJ = 8164220
TS = 83664259, TJ = 36464472
TS = 79681345, TJ = 9968854
TS = 104341711, TJ = 19992366
TS = 60229812, TJ = 29887885
TS = 34320805, TJ = 5439180
TS = 10083841, TJ = 504466
TS = 33643604, TJ = 7157643
TS = 15864990, TJ = 1075034
TS = 26920671, TJ = 2497360
TS = 18203406, TJ = 1026367
TS = 82230384, TJ = 6571915
TS = 11395774, TJ = 382725
TS = 12043709, TJ = 3533637
TS = 13372784, TJ = 9259500
TS = 13861903, TJ = 3251979
TS = 15635456, TJ = 3798845
TS = 51354758, TJ = 2485107
TS = 51258666, TJ = 1418470
TS = 64203118, TJ = 8568573
TS = 18086733, TJ = 4928179
TS = 17223465, TJ = 1024698
TS = 17721789, TJ = 1857014
TS = 17133464, TJ = 1555152
TS = 18326858, TJ = 1316170
TS = 24848561, TJ = 6112046
TS = 4476623, TJ = 215668
TS = 4774932, TJ = 4342484
TS = 6117007, TJ = 1465386
TS = 10649976, TJ = 319110
TS = 10989148, TJ = 1191359
TS = 10413394, TJ = 1477119
TS = 11258665, TJ = 1716618
TS = 12455549, TJ = 9658328
TS = 11145637, TJ = 1864521
TS = 13955819, TJ = 2870786
TS = 2980620, TJ = 2849096
TS = 3914978, TJ = 1016296
TS = 1816501, TJ = 1774871
TS = 10248602, TJ = 2597089
TS = 16903777, TJ = 2064445
TS = 15744589, TJ = 1522872
TS = 17114989, TJ = 5251920
TS = 16521885, TJ = 1720992
TS = 15940840, TJ = 2019295
TS = 17124609, TJ = 3881612
TS = 9065635, TJ = 2786775
TS = 8110727, TJ = 903813
TS = 11178400, TJ = 2241320
TS = 10810409, TJ = 826339
TS = 11537238, TJ = 1123190
TS = 10515042, TJ = 5717404
TS = 17941288, TJ = 5580360
TS = 19719658, TJ = 2753377
TS = 21685813, TJ = 5107201
TS = 10723762, TJ = 3223987
TS = 21341384, TJ = 4294337
TS = 21886984, TJ = 731390
TS = 22356165, TJ = 1791340
TS = 16503976, TJ = 1462918
TS = 36839044, TJ = 24082639
TS = 36691536, TJ = 21106750
TS = 41950039, TJ = 22749671
TS = 4140348, TJ = 1448135
TS = 15033784, TJ = 1408215
TS = 15202646, TJ = 10679365
TS = 3074998, TJ = 2962315
TS = 3874259, TJ = 612518
TS = 73065656, TJ = 1153170
TS = 72492508, TJ = 5409621
TS = 3594831, TJ = 3073344
TS = 3627869, TJ = 616089
TS = 1744540, TJ = 1705779
TS = 93665334, TJ = 3652718
TS = 7594103, TJ = 4684187
TS = 12380719, TJ = 2250760
TS = 12480397, TJ = 5151058
TS = 13755704, TJ = 881176
TS = 4565675, TJ = 3031592
TS = 5558533, TJ = 531059
TS = 1823008, TJ = 1763416
TS = 7425080, TJ = 1779114
TS = 1766885, TJ = 1723193
TS = 3060099, TJ = 298261
TS = 3762162, TJ = 3217397
TS = 8877578, TJ = 962355
TS = 5112361, TJ = 3234501
TS = 1818594, TJ = 1776337
TS = 3364812, TJ = 1591702
TS = 5308590, TJ = 3501931
TS = 8960422, TJ = 6270086
TS = 20390858, TJ = 13383688
TS = 27511733, TJ = 2282589
TS = 2644523, TJ = 2602802
TS = 1865849, TJ = 1822199
TS = 69365365, TJ = 2136594
TS = 60143669, TJ = 58118966
TS = 147075212, TJ = 3938456
TS = 155799969, TJ = 5890337
TS = 204439123, TJ = 12097123
TS = 196050510, TJ = 14968160
TS = 6841609, TJ = 6036919
TS = 6506482, TJ = 3652813
TS = 6680701, TJ = 1064458
TS = 11995478, TJ = 2155122
TS = 7996544, TJ = 2271585
TS = 22075430, TJ = 739342
TS = 22854525, TJ = 5273238
TS = 19081456, TJ = 1588561
TS = 2861639, TJ = 2391189
TS = 1867068, TJ = 1825709
TS = 14319096, TJ = 1603147
TS = 22998055, TJ = 9553171
TS = 22636660, TJ = 3217923
TS = 23241948, TJ = 2180688
TS = 4193625, TJ = 4121732
TS = 15355057, TJ = 359374
TS = 15940068, TJ = 15383757
TS = 3756581, TJ = 3644425
TS = 4564872, TJ = 593954
TS = 88189599, TJ = 15400703
TS = 39536190, TJ = 9670459
TS = 22740884, TJ = 1946656
TS = 40598828, TJ = 659133
TS = 50568240, TJ = 32643325
TS = 43343244, TJ = 9782536
TS = 59344072, TJ = 10193379
TS = 3098759, TJ = 3032072
TS = 126922488, TJ = 7596807
TS = 260372930, TJ = 3092917
TS = 252205197, TJ = 3900899
TS = 10196384, TJ = 1123959
TS = 14634830, TJ = 6432077
TS = 8364711, TJ = 1426408
TS = 5203592, TJ = 395355
TS = 5095132, TJ = 784407
TS = 4849117, TJ = 4496904
TS = 3248659, TJ = 1465930
TS = 6655956, TJ = 556790
TS = 7465417, TJ = 2565323
TS = 6804675, TJ = 3578633
TS = 5380461, TJ = 1410026
TS = 8947799, TJ = 208808
TS = 8737023, TJ = 3283248
TS = 9366253, TJ = 3957537
TS = 80778822, TJ = 48895951
TS = 85549355, TJ = 48881276
TS = 69441929, TJ = 48970905
TS = 79373806, TJ = 51583781
TS = 82103870, TJ = 50984542
TS = 86053485, TJ = 58143210
TS = 103600455, TJ = 52489100
TS = 7157907, TJ = 2104580
